cruise,date
2001/0057,2001-09-23
2001/0057,2001-09-25
2002/0007,2001-11-01
2002/0007,2001-11-05
2002/0007,2001-11-06
2002/0007,2001-11-07
2002/0007,2001-11-08
2002/0007,2001-11-09
2002/0007,2001-11-12
2002/0007,2001-11-13
2002/0007,2001-11-14
2002/0007,2001-11-16
2002/0007,2001-11-17
2002/0007,2001-11-21
2002/0007,2001-11-23
2002/0007,2001-11-25
2002/0007,2001-11-26
2002/0015,2002-01-08
2002/0015,2002-01-09
2002/0015,2002-01-10
2002/0015,2002-01-11
2002/0015,2002-01-12
2002/0015,2002-01-13
2002/0015,2002-01-14
2002/0015,2002-01-15
2002/0015,2002-01-16
2002/0015,2002-01-18
2002/0015,2002-01-19
2002/0015,2002-01-20
2002/0015,2002-01-21
2002/0015,2002-01-22
2002/0015,2002-01-23
2002/0015,2002-01-24
2002/0015,2002-01-25
2002/0015,2002-01-26
2002/0015,2002-01-27
2002/0015,2002-01-28
2002/0015,2002-01-29
2002/0015,2002-01-30
2002/0015,2002-01-31
2002/0015,2002-02-01
2002/0015,2002-02-02
2002/0015,2002-02-03
2002/0015,2002-02-04
2002/0015,2002-02-05
2002/0015,2002-02-06
2002/0015,2002-02-07
2002/0023,2002-04-10
2002/0023,2002-04-11
2002/0023,2002-04-12
2002/0023,2002-04-14
2002/0023,2002-04-15
2002/0023,2002-04-17
2002/0023,2002-04-19
2002/0023,2002-04-20
2002/0026,2002-05-04
2002/0026,2002-05-05
2002/0026,2002-05-06
2002/0026,2002-05-07
2002/0026,2002-05-08
2002/0026,2002-05-09
2002/0026,2002-05-10
2002/0026,2002-05-11
2002/0026,2002-05-12
2002/0026,2002-05-13
2002/0026,2002-05-14
2002/0026,2002-05-15
2002/0026,2002-05-16
2002/0026,2002-05-18
2002/0026,2002-05-19
2002/0026,2002-05-20
2002/0026,2002-05-21
2002/0026,2002-05-22
2002/0027,2002-06-14
2002/0027,2002-06-15
2002/0027,2002-06-16
2002/0027,2002-06-17
2002/0027,2002-06-18
2009/0002,2002-10-24
2009/0002,2002-10-25
2009/0002,2002-10-26
2009/0002,2002-10-27
2009/0002,2002-10-28
2009/0002,2002-10-29
2009/0002,2002-10-30
2009/0002,2002-10-31
2009/0002,2002-11-01
2009/0002,2002-11-02
2009/0002,2002-11-03
2009/0002,2002-11-06
2009/0002,2002-11-07
2009/0002,2002-11-08
2009/0002,2002-11-09
2009/0002,2002-11-10
2009/0002,2002-11-11
2009/0002,2002-11-12
2009/0002,2002-11-13
2009/0002,2002-11-15
2009/0002,2002-11-16
2009/0002,2002-11-17
2009/0002,2002-11-19
2009/0002,2002-11-21
2009/0002,2002-11-22
2009/0002,2002-11-23
2009/0002,2002-11-24
2009/0002,2002-11-26
2009/0002,2002-11-27
2009/0002,2002-11-28
2009/0006,2003-04-08
2009/0006,2003-04-09
2009/0006,2003-04-10
2009/0006,2003-04-11
2009/0006,2003-04-12
2009/0006,2003-04-13
2009/0006,2003-04-14
2009/0006,2003-04-15
2009/0006,2003-04-16
2009/0006,2003-04-17
2009/0006,2003-04-18
2009/0006,2003-04-19
2009/0006,2003-04-20
2009/0006,2003-04-21
2009/0006,2003-04-22
2009/0006,2003-04-23
2009/0006,2003-04-24
2009/0006,2003-04-25
2009/0006,2003-04-26
2009/0006,2003-04-27
2009/0006,2003-04-28
2009/0006,2003-04-29
2009/0006,2003-04-30
2009/0006,2003-05-01
2009/0006,2003-05-02
2009/0006,2003-05-03
2009/0007,2003-05-15
2009/0007,2003-05-16
2009/0007,2003-05-17
2009/0007,2003-05-18
2009/0007,2003-05-19
2009/0007,2003-05-20
2009/0007,2003-05-21
2009/0007,2003-05-22
2009/0007,2003-05-23
2009/0007,2003-05-29
2009/0007,2003-05-30
2009/0007,2003-05-31
2009/0007,2003-06-01
2009/0011,2003-08-26
2009/0011,2003-08-27
2009/0011,2003-08-28
2009/0011,2003-08-29
2009/0011,2003-08-30
2009/0011,2003-08-31
2009/0011,2003-09-01
2009/0011,2003-09-02
2009/0011,2003-09-03
2009/0011,2003-09-04
2009/0011,2003-09-05
2009/0011,2003-09-06
